,TransactionID,id_01,id_02,id_05,id_06,id_11,id_12,id_13,id_15,id_16,id_17,id_19,id_20,id_28,id_29,id_31,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo,isFraud
92271,3541677,-10.0,515.0,5.0,-22.0,100.0,0,34,0,0,55,397,254,0,0,54,1,0,1,1,0,1431,0
48840,3203428,-10.0,97356.0,0.0,0.0,100.0,1,34,0,0,51,273,125,0,0,45,0,0,1,0,0,1431,0
90063,3527385,-5.0,50876.0,0.0,0.0,100.0,0,44,1,1,55,188,110,0,0,93,1,0,0,1,1,1541,0
4138,3012598,-5.0,85011.0,19.0,-100.0,100.0,1,34,1,1,55,273,73,1,1,42,1,0,1,1,0,1431,0
27143,3085475,-5.0,116085.0,0.0,0.0,100.0,1,32,1,1,55,375,309,1,1,93,1,0,0,0,1,1541,0
23258,3075894,-5.0,117127.0,4.0,0.0,100.0,1,34,1,1,55,273,235,1,1,72,1,0,1,0,0,1574,0
40626,3131949,-5.0,64599.0,0.0,0.0,100.0,1,34,1,1,55,84,100,1,1,45,1,0,1,1,0,1431,0
36873,3109611,-5.0,87703.0,0.0,0.0,100.0,1,34,1,1,55,39,271,1,1,45,1,0,1,1,0,1431,0
48838,3203422,-10.0,66786.0,0.0,-1.0,100.0,1,34,0,0,94,136,259,0,0,45,0,0,1,0,0,1431,0
27859,3087410,-5.0,32708.0,9.0,0.0,100.0,1,32,1,1,55,344,100,1,1,46,1,0,1,0,1,975,0
64709,3332570,-5.0,299113.0,0.0,0.0,100.0,1,34,1,1,2,216,102,1,1,48,0,0,1,0,0,1431,0
1658,2999272,-5.0,5799.0,0.0,0.0,100.0,1,34,1,1,55,0,168,1,1,69,1,0,1,1,0,1431,0
11762,3042178,-5.0,50353.0,0.0,0.0,100.0,1,32,0,0,55,0,272,0,0,20,1,0,1,0,0,661,0
45425,3174820,-5.0,207119.0,0.0,0.0,100.0,1,34,0,0,94,68,259,0,0,45,0,0,1,0,0,1431,0
94191,3551606,-5.0,183685.0,-18.0,-34.0,100.0,1,13,1,1,94,145,199,1,1,55,0,0,1,0,1,1174,0
23141,3075604,-5.0,20718.0,0.0,-1.0,100.0,1,32,0,0,55,0,272,0,0,46,1,0,1,0,1,1166,0
60986,3295463,-5.0,112520.0,0.0,0.0,100.0,1,34,1,1,55,84,73,1,1,48,1,0,1,0,0,1431,0
4479,3014057,-5.0,78451.0,20.0,-45.0,100.0,1,34,1,1,55,273,146,1,1,89,1,0,1,1,0,1397,0
62505,3308864,-5.0,45286.0,0.0,0.0,100.0,1,34,0,0,94,417,287,0,0,48,0,0,1,0,0,1431,0
62170,3305765,-5.0,85429.0,0.0,0.0,100.0,1,34,0,0,94,145,126,0,0,45,0,0,1,0,0,1431,0
27784,3087191,-40.0,136978.0,18.0,-6.0,100.0,1,5,0,0,55,197,254,0,0,37,1,0,1,1,1,1082,0
7418,3026806,-5.0,54403.0,0.0,0.0,100.0,1,32,1,1,55,0,280,1,1,93,1,0,0,1,1,1541,0
22493,3073973,-5.0,181709.0,0.0,0.0,100.0,1,34,0,0,94,288,289,0,0,45,0,0,1,1,0,1431,0
40781,3133482,-5.0,60140.0,24.0,-2.0,100.0,1,34,1,1,55,273,50,1,1,45,1,0,1,0,0,1431,0
22837,3074868,-5.0,537490.0,0.0,0.0,100.0,1,34,1,1,94,145,259,1,1,68,0,0,1,1,0,1431,0
8051,3029075,-5.0,70509.0,0.0,0.0,100.0,1,32,0,0,55,322,265,0,0,111,1,0,1,0,0,661,0
90244,3528282,-45.0,238849.0,0.0,-30.0,100.0,1,34,0,0,94,145,289,0,0,54,0,0,1,0,0,1431,0
17249,3060065,-5.0,47047.0,0.0,0.0,100.0,1,34,1,1,55,188,73,1,1,45,1,0,1,0,0,1431,0
84623,3493059,-5.0,292256.0,0.0,-1.0,100.0,1,34,1,1,55,70,109,1,1,68,1,0,1,1,0,1431,0
4024,3012169,-5.0,88691.0,1.0,-36.0,100.0,1,32,1,1,55,20,280,1,1,93,1,0,0,0,1,1541,0
54507,3248866,-5.0,133099.0,-5.0,-6.0,100.0,1,32,0,0,55,0,247,0,0,45,1,0,1,0,0,661,0
79705,3451401,-5.0,67913.0,1.0,0.0,100.0,1,44,0,0,55,375,70,0,0,80,1,0,1,0,0,1583,0
82803,3476916,-5.0,78000.0,3.0,-19.0,100.0,1,34,0,0,55,273,100,0,0,89,1,0,1,1,0,1397,0
48568,3201237,-5.0,173113.0,0.0,0.0,100.0,0,32,0,0,55,386,73,0,0,93,1,0,0,0,1,1541,0
36042,3106192,-10.0,159935.0,0.0,0.0,100.0,1,34,0,0,94,145,26,0,0,45,0,0,1,1,0,1431,0
7860,3028395,-40.0,63472.0,5.0,-10.0,100.0,1,5,0,0,55,386,309,0,0,43,1,0,1,1,1,1343,0
3919,3011605,0.0,154264.0,0.0,0.0,100.0,1,7,0,0,94,48,141,0,0,78,0,0,1,1,0,1581,0
8414,3030568,-20.0,87906.0,0.0,0.0,100.0,1,34,1,1,94,145,259,1,1,42,0,0,1,1,0,1431,0
86066,3505375,-5.0,142202.0,0.0,0.0,100.0,1,44,1,1,94,288,259,1,1,61,0,0,1,0,1,575,0
54199,3246489,-5.0,218780.0,0.0,0.0,100.0,1,34,1,1,94,145,259,1,1,48,0,0,1,0,0,1431,0
7622,3027606,-5.0,102054.0,1.0,-5.0,95.16000366210938,0,34,1,1,55,102,68,0,0,89,0,0,1,1,0,1556,0
50088,3213669,-5.0,238329.0,0.0,0.0,100.0,1,32,1,1,55,375,73,1,1,95,1,0,0,1,1,1541,0
13948,3049670,-5.0,142956.0,0.0,0.0,100.0,1,34,1,1,94,167,192,1,1,45,0,0,1,1,0,1431,0
15224,3053747,-5.0,104148.0,0.0,0.0,100.0,1,34,1,1,55,0,247,1,1,45,1,0,1,0,0,1431,0
82020,3470506,-20.0,441505.0,0.0,0.0,100.0,1,34,1,1,94,145,141,1,1,51,0,0,1,0,0,1431,0
18039,3062477,-5.0,99215.0,0.0,-5.0,100.0,1,32,1,1,55,39,44,1,1,93,1,0,0,1,1,1541,0
29859,3092388,-5.0,212557.0,0.0,0.0,100.0,1,34,1,1,55,188,68,1,1,45,1,0,1,0,0,1431,0
84314,3489926,-5.0,64324.0,0.0,0.0,100.0,1,44,1,1,55,188,73,1,1,111,1,0,0,0,0,661,0
16739,3058758,-5.0,115976.0,0.0,0.0,100.0,1,32,1,1,55,273,0,1,1,78,1,0,1,0,0,1581,0
29589,3091748,-25.0,131255.0,9.0,-32.0,100.0,1,32,1,1,55,193,73,1,1,93,1,0,0,1,1,1541,0
46049,3180538,-5.0,124490.0,0.0,0.0,100.0,1,32,1,1,55,392,73,1,1,93,1,0,0,0,1,1541,0
68222,3361168,-5.0,160677.0,10.0,-20.0,100.0,1,34,0,1,69,273,202,0,1,48,0,0,1,0,0,1431,0
73095,3396220,-5.0,199322.0,1.0,-49.0,100.0,1,44,1,1,94,145,305,1,1,49,0,0,1,0,1,576,0
2067,3001948,-5.0,142590.0,-30.0,-100.0,100.0,1,34,0,1,40,273,130,0,1,42,0,0,1,1,0,1431,0
2627,3005301,-20.0,39141.0,9.0,-32.0,100.0,1,3,0,0,55,193,68,0,0,93,1,0,1,1,1,1541,0
57109,3265036,-5.0,100465.0,0.0,0.0,100.0,1,34,0,0,94,288,289,0,0,45,0,0,1,0,0,1431,0
25489,3081358,-5.0,226773.0,11.0,-15.0,100.0,1,34,1,1,55,449,272,1,1,89,1,0,1,1,0,1431,0
23445,3076376,-10.0,60889.0,1.0,-6.0,100.0,0,34,0,0,55,207,280,0,0,78,1,0,1,1,0,1431,0
90603,3530564,-10.0,36787.0,9.0,-100.0,100.0,0,44,0,0,40,273,238,0,0,93,1,0,0,1,1,1541,0
27778,3087174,-5.0,24889.0,0.0,0.0,100.0,1,34,0,0,55,461,75,0,0,45,1,0,1,1,0,1431,0
74171,3404347,-5.0,586101.0,0.0,0.0,100.0,1,44,1,1,94,145,305,1,1,49,0,0,1,0,1,485,0
50146,3214081,-5.0,108338.0,21.0,-100.0,97.12000274658205,1,34,1,1,55,137,235,0,0,45,1,0,1,0,0,1431,0
14110,3050197,-5.0,65969.0,0.0,0.0,100.0,1,32,1,1,55,386,244,1,1,45,1,0,1,0,0,661,0
6341,3022445,-40.0,43525.0,13.0,-11.0,100.0,1,5,1,1,55,197,68,1,1,43,1,0,1,1,1,562,0
54160,3246345,-5.0,85460.0,10.0,-1.0,100.0,1,34,1,1,55,84,100,1,1,89,1,0,1,1,0,1397,0
308,2989524,-10.0,266649.0,0.0,0.0,100.0,0,34,0,0,55,471,307,0,0,78,1,0,1,1,0,1431,0
701,2992768,-5.0,34226.0,0.0,0.0,100.0,1,34,0,0,55,188,73,0,0,42,1,0,1,1,0,1431,0
54388,3247656,-5.0,129495.0,0.0,0.0,100.0,1,34,0,0,55,0,168,0,0,79,1,0,1,0,0,1431,0
4077,3012363,-5.0,365367.0,0.0,0.0,95.08000183105469,1,34,1,1,50,11,329,0,0,78,0,0,1,1,0,1431,0
82731,3476296,-10.0,215081.0,2.0,-22.0,100.0,1,34,0,0,55,232,247,0,0,96,1,0,1,1,1,1541,0
5677,3019618,-5.0,14943.0,1.0,-5.0,93.75,1,34,1,1,55,156,73,0,0,69,1,0,1,1,0,1431,0
9567,3034601,-5.0,374824.0,0.0,0.0,100.0,1,32,1,1,55,386,73,1,1,111,1,0,0,1,0,661,0
9210,3033232,-5.0,666005.0,0.0,0.0,100.0,0,32,0,0,55,373,110,0,0,42,1,0,1,0,0,661,0
90910,3532553,-5.0,48669.0,1.0,0.0,100.0,0,44,1,1,55,157,109,0,0,93,1,0,0,0,1,1541,0
86390,3508066,-5.0,36789.0,0.0,0.0,100.0,0,34,0,0,55,273,109,0,0,54,1,0,1,1,0,1431,0
48180,3198479,-5.0,63074.0,0.0,0.0,100.0,1,32,1,1,55,188,309,1,1,93,1,0,0,1,1,1541,0
18445,3063528,-5.0,159378.0,0.0,0.0,100.0,1,32,1,1,55,453,94,1,1,93,1,0,0,0,1,1541,0
7166,3025722,-5.0,98010.0,0.0,0.0,100.0,1,34,0,0,55,84,309,0,0,42,1,0,1,1,0,1431,0
41811,3141926,-5.0,201884.0,3.0,-5.0,100.0,1,12,1,1,94,167,192,1,1,46,0,0,1,1,1,1170,0
15753,3055517,-5.0,134038.0,1.0,0.0,100.0,0,32,1,1,55,351,44,1,1,93,1,0,0,0,1,1541,0
32571,3098295,-5.0,131027.0,0.0,0.0,100.0,1,32,1,1,55,386,254,1,1,93,1,0,0,0,1,1541,0
13994,3049827,-5.0,166724.0,0.0,0.0,100.0,1,32,1,1,55,220,262,1,1,93,1,0,0,0,1,1541,0
56839,3263525,-5.0,158898.0,0.0,0.0,100.0,1,18,1,1,55,0,185,1,1,96,1,0,0,0,1,1541,0
12943,3046052,-5.0,356127.0,4.0,-12.0,91.06999969482422,1,34,1,1,55,273,146,0,0,45,1,0,1,0,0,1431,0
10206,3036770,-5.0,71411.0,1.0,-7.0,100.0,1,32,1,1,55,261,68,1,1,93,1,0,0,1,1,1541,0
48229,3198863,-5.0,113805.0,0.0,0.0,100.0,1,32,1,1,55,101,307,1,1,111,1,0,0,0,0,661,0
72050,3388723,-5.0,169531.0,0.0,0.0,95.08000183105469,1,34,1,1,94,150,259,0,0,80,0,0,1,0,0,1431,0
22525,3074071,-15.0,39644.0,-9.0,-12.0,100.0,1,34,0,0,94,214,259,0,0,45,0,0,1,1,0,1431,0
17193,3059904,-5.0,128783.0,12.0,-16.0,100.0,0,32,0,0,55,6,100,0,0,93,1,0,0,0,1,1541,0
33353,3099718,-5.0,182284.0,0.0,0.0,100.0,0,32,0,0,55,461,316,0,0,96,1,0,1,0,1,1541,0
17752,3061534,-5.0,117726.0,0.0,-21.0,100.0,1,34,0,0,55,273,247,0,0,89,1,0,1,1,0,1397,0
8783,3031891,-5.0,25209.0,1.0,0.0,95.6500015258789,1,32,1,1,55,101,9,0,0,111,1,0,0,1,0,661,0
8281,3030008,-5.0,45118.0,0.0,0.0,100.0,1,32,1,1,55,135,68,1,1,111,1,0,0,1,0,661,0
79622,3450566,-5.0,180659.0,0.0,0.0,100.0,0,44,0,0,55,375,280,0,0,96,1,0,1,0,1,1541,0
93317,3546995,-5.0,341224.0,0.0,0.0,100.0,1,13,1,1,94,145,259,1,1,55,0,0,1,0,1,1231,0
55504,3255723,-5.0,340753.0,0.0,0.0,100.0,1,18,0,0,94,150,259,0,0,41,0,0,1,0,1,113,0
92227,3541292,-5.0,381.0,0.0,-1.0,100.0,0,34,0,0,55,379,94,0,0,54,1,0,1,1,0,1431,0
31418,3095742,-5.0,216183.0,0.0,0.0,100.0,1,34,0,0,94,145,259,0,0,45,0,0,1,1,0,1431,0
20446,3068668,-20.0,143129.0,2.0,-30.0,100.0,1,3,1,1,55,193,68,1,1,96,1,0,1,1,1,1541,0
14620,3051797,-5.0,54113.0,5.0,-30.0,100.0,1,36,0,0,55,20,280,0,0,96,1,0,1,1,1,1541,0
57483,3267789,-45.0,124013.0,0.0,0.0,100.0,1,18,1,1,94,288,259,1,1,49,0,0,1,0,1,386,0
52323,3232282,-95.0,148111.0,-3.0,-16.0,100.0,1,32,1,1,94,279,259,1,1,6,0,0,1,0,1,640,0
77882,3437153,-5.0,52973.0,0.0,0.0,100.0,1,34,0,0,55,188,309,0,0,51,1,0,1,1,0,1431,0
62106,3305167,-5.0,45667.0,5.0,-19.0,100.0,1,34,1,1,55,84,185,1,1,89,1,0,1,1,0,1556,0
14908,3052918,-5.0,48085.0,0.0,0.0,100.0,1,34,0,0,94,145,259,0,0,45,0,0,1,1,0,1431,0
77586,3434676,-5.0,355999.0,0.0,0.0,100.0,1,44,1,1,94,48,199,1,1,118,0,0,1,0,1,862,0
8283,3030017,-5.0,274542.0,0.0,0.0,100.0,1,34,0,0,94,145,259,0,0,42,0,0,1,1,0,1431,0
86870,3511725,-10.0,31414.0,9.0,-9.0,100.0,0,34,0,0,55,267,271,0,0,54,1,0,1,1,0,1431,0
25730,3081913,-5.0,6078.0,0.0,0.0,100.0,0,34,0,0,55,273,94,0,0,75,1,0,1,0,0,1431,0
72084,3388890,-10.0,75706.0,0.0,0.0,100.0,1,34,0,0,94,150,259,0,0,80,0,0,1,0,0,1431,0
63039,3316864,-20.0,269451.0,0.0,0.0,100.0,1,34,1,1,94,48,151,1,1,48,0,0,1,0,0,1431,0
86779,3511045,-5.0,83742.0,0.0,0.0,100.0,1,34,0,0,55,0,272,0,0,69,1,0,1,1,0,1431,0
40732,3132962,-5.0,94757.0,0.0,0.0,100.0,1,34,0,0,55,101,92,0,0,45,1,0,1,1,0,1431,0
70407,3377631,-5.0,139150.0,0.0,0.0,100.0,1,34,1,1,55,0,168,1,1,89,1,0,1,1,0,1397,0
74915,3410792,-5.0,174891.0,0.0,0.0,100.0,1,44,0,0,94,48,141,0,0,52,0,0,1,0,1,1239,0
82769,3476621,-5.0,98492.0,0.0,-16.0,100.0,1,44,0,0,55,84,271,0,0,51,1,0,1,0,0,661,0
35705,3104821,-5.0,95672.0,0.0,0.0,100.0,1,34,0,0,94,288,141,0,0,45,0,0,1,1,0,1431,0
32572,3098298,0.0,205499.0,0.0,0.0,100.0,1,7,1,1,94,145,259,1,1,89,0,1,1,1,0,1556,0
88006,3519069,-5.0,610441.0,0.0,0.0,100.0,1,44,1,1,94,145,141,1,1,55,0,0,1,0,1,1333,0
86388,3508053,-5.0,26163.0,17.0,-9.0,100.0,0,34,0,0,55,87,168,0,0,54,1,0,1,1,0,1431,0
47562,3193755,-95.0,119874.0,4.0,-24.0,100.0,1,34,0,0,94,214,259,0,0,45,0,0,1,0,0,1431,0
61385,3298789,-10.0,104226.0,16.0,-30.0,90.36000061035156,1,43,1,1,55,273,68,0,0,90,1,0,0,1,0,1397,0
25056,3080446,-40.0,97620.0,6.0,-13.0,100.0,1,34,1,1,55,273,316,1,1,20,1,0,1,0,0,1431,0
66563,3349462,-5.0,385594.0,0.0,0.0,100.0,1,34,0,0,94,288,26,0,0,48,0,0,1,0,0,1431,0
52184,3231227,-20.0,343892.0,0.0,0.0,100.0,1,34,1,1,94,288,259,1,1,68,0,0,1,0,0,1431,0
16345,3057526,-5.0,209703.0,0.0,0.0,100.0,1,12,0,0,94,485,126,0,0,43,0,0,1,1,1,1148,0
26957,3084946,-5.0,26677.0,0.0,0.0,100.0,1,34,1,1,55,386,309,1,1,45,1,0,1,1,0,1431,0
13127,3046666,-5.0,50716.0,3.0,-1.0,100.0,0,34,0,0,55,273,33,0,0,45,1,0,1,1,0,1431,0
68915,3366357,-5.0,274568.0,2.0,-4.0,100.0,0,18,0,0,55,220,73,0,0,60,1,0,1,0,1,1261,0
65777,3342560,-5.0,42725.0,2.0,-1.0,100.0,1,34,0,0,55,47,110,0,0,48,1,0,1,0,0,1431,0
60175,3288517,-5.0,135673.0,0.0,0.0,100.0,1,34,0,0,94,145,259,0,0,76,0,0,1,0,0,1579,0
29369,3091102,-5.0,144144.0,0.0,-1.0,100.0,1,34,1,1,55,375,37,1,1,45,1,0,1,0,0,1431,0
22559,3074156,-5.0,94201.0,5.0,-5.0,100.0,0,34,0,0,55,102,68,0,0,89,0,0,1,1,0,1556,0
72099,3389058,-5.0,30439.0,-13.0,-13.0,100.0,1,34,0,0,94,288,151,0,0,80,0,0,1,0,0,1431,0
2275,3003342,-5.0,11948.0,0.0,0.0,100.0,1,34,0,0,55,0,254,0,0,68,1,0,1,1,0,1431,0
82913,3477831,-15.0,559685.0,0.0,0.0,100.0,1,34,0,0,94,48,141,0,0,103,0,0,1,0,0,1431,0
22593,3074244,-5.0,135953.0,0.0,0.0,100.0,1,32,0,0,55,84,5,0,0,74,1,0,1,0,0,1571,0
91629,3537454,-100.0,245198.0,-5.0,-29.0,100.0,1,44,1,1,94,411,259,1,1,49,0,0,1,0,1,673,0
25772,3082013,-5.0,46229.0,7.0,0.0,100.0,1,34,0,0,55,273,244,0,0,45,1,0,1,1,0,1431,0
94052,3550426,-5.0,711353.0,0.0,0.0,100.0,1,13,0,0,55,197,68,0,0,120,0,0,1,0,1,907,0
29514,3091498,-5.0,122174.0,0.0,0.0,100.0,1,32,1,1,55,188,50,1,1,93,1,0,1,0,1,1541,0
2575,3005036,-5.0,200048.0,0.0,0.0,100.0,1,32,1,1,55,375,280,1,1,92,1,0,0,0,1,1541,0
52527,3234235,-5.0,76613.0,0.0,0.0,100.0,1,32,0,0,94,167,192,0,0,49,0,0,1,0,1,1035,0
91061,3533736,-5.0,418844.0,0.0,0.0,100.0,1,44,1,1,55,312,68,1,1,93,1,0,1,0,1,1541,0
32840,3098826,-5.0,208227.0,0.0,0.0,100.0,1,32,0,0,55,84,235,0,0,42,1,0,1,0,0,661,0
24583,3079320,-5.0,25275.0,7.0,-25.0,100.0,1,32,1,1,55,110,265,1,1,93,1,0,0,0,1,1541,0
31993,3096946,-5.0,87563.0,0.0,0.0,100.0,1,32,1,1,55,375,70,1,1,95,1,0,0,1,1,1541,0
92759,3544855,-5.0,105852.0,18.0,-10.0,100.0,1,13,1,1,55,184,73,1,1,92,1,0,0,1,1,1541,0
42372,3146052,-5.0,424466.0,3.0,0.0,100.0,1,12,0,0,94,145,126,0,0,78,0,0,1,1,0,1581,0
65956,3344363,-5.0,122679.0,1.0,0.0,100.0,1,34,1,1,55,84,309,1,1,48,1,0,1,0,0,1431,0
88435,3521473,-20.0,325678.0,0.0,0.0,100.0,1,34,0,0,94,48,141,0,0,101,0,0,1,0,0,1431,0
11242,3040526,-5.0,64718.0,0.0,0.0,100.0,1,32,1,1,55,375,73,1,1,93,1,0,0,0,1,1541,0
53690,3243321,-40.0,35017.0,0.0,0.0,100.0,0,5,0,0,55,344,33,0,0,89,1,1,1,1,0,1397,0
79936,3453024,-5.0,123274.0,3.0,0.0,100.0,1,44,0,0,2,273,164,0,0,51,1,0,1,0,0,661,0
90497,3529798,-5.0,521357.0,0.0,0.0,100.0,1,44,0,0,94,288,259,0,0,52,0,0,1,0,1,1088,0
54239,3246769,-5.0,666594.0,0.0,0.0,100.0,0,32,0,0,55,188,73,0,0,45,1,0,1,0,0,661,0
3383,3009047,-5.0,60026.0,17.0,-23.0,100.0,1,34,0,0,55,273,68,0,0,89,1,0,1,1,0,1397,0
15912,3056130,-80.0,84609.0,0.0,0.0,100.0,1,32,0,0,55,375,309,0,0,111,1,0,1,0,0,661,0
25331,3081045,-5.0,84019.0,0.0,0.0,100.0,1,34,1,1,55,273,309,1,1,89,1,0,1,1,0,1397,0
45791,3178571,-5.0,65019.0,3.0,0.0,100.0,1,34,0,0,55,237,140,0,0,45,1,0,1,0,0,1431,0
38140,3115498,-5.0,546062.0,0.0,0.0,100.0,0,32,0,0,55,375,94,0,0,78,1,0,1,0,0,1581,0
11232,3040489,-5.0,115255.0,0.0,0.0,100.0,1,34,0,1,55,0,254,0,1,68,1,0,1,1,0,1431,0
90822,3531884,-10.0,2959.0,1.0,0.0,100.0,0,34,0,0,55,471,271,0,0,69,1,0,1,0,0,1431,0
2189,3002745,-5.0,181857.0,0.0,0.0,100.0,1,34,1,1,55,188,68,1,1,42,1,0,1,0,0,1431,0
42537,3147627,-5.0,3140.0,0.0,0.0,100.0,0,34,0,0,55,386,271,0,0,45,1,0,1,1,0,1431,0
25036,3080409,-5.0,176904.0,12.0,-49.0,100.0,0,32,0,0,55,20,309,0,0,92,1,0,0,1,1,1541,0
15389,3054259,-5.0,490460.0,0.0,0.0,100.0,1,32,1,1,55,375,280,1,1,111,1,0,0,0,0,661,0
60868,3293933,-5.0,39470.0,2.0,0.0,100.0,1,34,1,1,55,138,94,1,1,48,1,0,1,1,0,1431,0
10474,3037592,-5.0,50802.0,9.0,0.0,94.29000091552734,1,32,1,1,55,312,309,0,0,111,1,0,0,0,0,661,0
74845,3410032,-5.0,273333.0,0.0,0.0,100.0,1,44,1,1,94,145,141,1,1,11,0,0,1,0,1,1080,0
61419,3299023,-25.0,179752.0,-6.0,-25.0,100.0,1,18,1,1,55,193,307,1,1,96,1,0,0,0,1,1541,0
77985,3438086,-45.0,461448.0,0.0,0.0,100.0,1,44,0,0,94,167,141,0,0,52,0,0,1,0,1,784,0
31836,3096559,-40.0,115773.0,9.0,-11.0,100.0,0,5,0,0,55,386,271,0,0,39,1,0,1,1,1,430,0
60790,3293178,-5.0,1183.0,0.0,0.0,100.0,0,34,0,0,55,471,271,0,0,45,1,0,1,1,0,1431,0
12041,3043208,-10.0,220694.0,2.0,-5.0,100.0,1,34,0,0,55,102,68,0,0,89,0,0,1,1,0,1556,0
32915,3098950,-30.0,78931.0,0.0,-31.0,100.0,1,32,1,1,55,193,73,1,1,93,1,0,0,1,1,1541,0
93137,3546484,-10.0,1304.0,6.0,0.0,100.0,0,34,0,0,55,471,271,0,0,69,1,0,1,1,0,1431,0
70687,3379519,-20.0,487740.0,0.0,-11.0,100.0,1,6,0,0,94,167,192,0,0,52,0,0,1,0,1,32,0
28012,3087736,-5.0,155730.0,0.0,0.0,100.0,1,32,1,1,55,386,68,1,1,93,1,0,0,1,1,1541,0
37292,3111597,-5.0,20087.0,12.0,-5.0,100.0,0,34,0,0,55,84,254,0,0,45,1,0,1,0,0,1431,0
73409,3398166,-10.0,462670.0,9.0,-25.0,100.0,1,44,1,1,94,279,317,1,1,43,0,0,1,0,1,1459,0
26449,3083594,-5.0,539352.0,0.0,0.0,100.0,0,34,0,0,55,461,50,0,0,69,1,0,1,1,0,1431,0
13610,3048587,-5.0,378936.0,0.0,0.0,100.0,1,34,1,1,94,288,287,1,1,45,0,0,1,1,0,1431,0
27751,3087116,-5.0,181093.0,0.0,0.0,100.0,0,32,0,0,55,312,73,0,0,111,1,0,0,0,0,661,0
44646,3167169,-5.0,80252.0,-5.0,-5.0,100.0,1,32,0,0,94,145,259,0,0,46,0,0,1,0,1,1197,0
74314,3405319,-5.0,180524.0,0.0,0.0,100.0,0,44,0,0,55,263,146,0,0,96,1,0,0,0,1,1541,0
63238,3319004,-10.0,326645.0,0.0,-1.0,100.0,1,34,1,1,94,150,259,1,1,45,0,0,1,0,0,1431,0
23145,3075612,-5.0,82008.0,0.0,0.0,100.0,1,34,1,1,55,0,272,1,1,45,1,0,1,1,0,1431,0
62735,3313385,-5.0,82753.0,0.0,0.0,100.0,1,34,0,0,94,338,259,0,0,48,0,0,1,0,0,1431,0
37643,3113088,-5.0,4710.0,0.0,0.0,100.0,0,32,1,1,55,101,271,0,0,47,1,0,0,1,1,1541,0
18634,3064065,-5.0,130715.0,2.0,0.0,100.0,0,34,0,0,55,386,92,0,0,78,1,0,1,1,0,1431,0
29712,3092066,-5.0,149644.0,0.0,-5.0,95.16000366210938,0,34,1,1,55,102,68,0,0,89,0,0,1,1,0,1556,0
19300,3065636,-5.0,207926.0,1.0,-1.0,100.0,1,34,1,1,55,375,73,1,1,45,1,0,1,0,0,1431,0
30734,3094278,-5.0,48732.0,0.0,0.0,100.0,1,32,1,1,55,0,185,1,1,93,1,0,0,0,1,1541,0
5449,3018532,-5.0,85689.0,3.0,0.0,100.0,1,32,1,1,55,386,168,1,1,93,1,0,0,1,1,1541,0
13258,3047141,-80.0,105480.0,6.0,-18.0,100.0,1,32,0,0,55,439,146,0,0,111,1,0,1,0,0,661,0
